"imdbid","title","budget","gross","release_date","directors","producers","actors"
,"The U.S. vs. John Lennon",,"1408065.0",,"David Leaf","David Leaf","John Lennon"
"0071196","Barry McKenzie Holds His Own","450000.0","1407000.0",1974-12-12,"Bruce Beresford","Bruce Beresford","Barry Crocker, Barry Humphries, Dick Bentley, Donald Pleasence"
,"Love of Siam",,"1405711.0",,"Chookiat Sakveerakul","Prachya Pinkaew","Chanidapa Pongsilpipat, Kanya Rattanapetch, Mario Maurer, Sinjai Plengpanich, Songsit Roongnophakunsri, Witwisit Hiranyawongkul"
,"Crisis (1950 film)","1581000.0","1403000.0",,"Richard Brooks","Arthur Freed","Cary Grant, José Ferrer, Paula Raymond"
,"Sahara (1983 film)","2.5E7","1402962.0",,"Andrew V. McLaglen","Menahem Golan, Yoram Globus","Brooke Shields, Horst Buchholz, John Mills, John Rhys-Davies, Lambert Wilson, Ronald Lacey"
,"Don't Touch the White Woman!",,"1402866.0",1974-01-23,"Marco Ferreri","Alain Sarde, Jean Yanne","Alain Cuny, Catherine Deneuve, Darry Cowl, Marcello Mastroianni, Michel Piccoli, Monique Chaumette, Paolo Villaggio, Philippe Noiret, Ugo Tognazzi"
,"Marianne & Leonard: Words of Love",,"1401207.0",,"Nick Broomfield","Nick Broomfield","John Lissauer, John Simon, Judy Collins, Leonard Cohen, Marianne Ihlen, Ron Cornelius"
,"Baghead",,"140106.0",,"Jay Duplass, Mark Duplass","Jay Duplass, Mark Duplass","Greta Gerwig, Ross Partridge, Steve Zissis"
"0026418","Go into Your Dance","703000.0","1401000.0",1935-04-20,"Archie Mayo","Jack L. Warner, Samuel Bischoff","Barton MacLane, Eizer Yoelson, Glenda Farrell, Ruby Keeler"
"0084274","Love and Money (film)",,"14009.0",,"James Toback","James Toback","Ray Sharkey"
,"The Celluloid Closet",,"1400591.0",,"Jeffrey Friedman","Howard Rosenman, Jeffrey Friedman",""
,"10 Items or Less (film)",,"1400000.0",,"Brad Silberling","Brad Silberling, Lori McCreary","Jonah Hill, Kumar Pallana, Morgan Freeman, Paz Vega"
,"This Land Is Mine (film)",,"1400000.0",,"Jean Renoir","Dudley Nichols","Charles Laughton, George Sanders, Maureen O'Hara"
"0043291","Apache Drums",,"1400000.0",,"Hugo Fregonese",", Val Lewton","Coleen Gray, Stephen McNally"
,"Three Colours: White",,"1400000.0",,"Krzysztof Kieślowski","Marin Karmitz","Janusz Gajos, Jerzy Stuhr, Zbigniew Zamachowski"
,"Footlight Serenade",,"1400000.0",,"Gregory Ratoff","William LeBaron","Betty Grable, John Payne, Victor Mature"
"0067491","Night of Dark Shadows","900000.0","1400000.0",,"Dan Curtis","Dan Curtis","Christopher Pennock, David Selby, Diana Millay, Grayson Hall, John Karlen, Kate Jackson, Lara Parker, Nancy Barrett"
,"The Assistant (2019 film)","1700000.0","1400000.0",,"Kitty Green","James Schamus, Kitty Green","Julia Garner, Kristine Froseth, Makenzie Leigh, Matthew Macfadyen, Noah Robbins"
"0017918","The Gaucho",,"1400000.0",,"F. Richard Jones","Douglas Fairbanks","Douglas Fairbanks, Lupe Vélez"
,"Times Square (1980 film)","5000000.0","1400000.0",1980-10-17,"Allan Moyle","Robert Stigwood","Herbert Berghof, Peter Coffield, Tim Curry, Trini Alvarado"
,"Wasp Network (film)","1.053E7","1400000.0",,"Olivier Assayas","Charles Gillibert","Ana de Armas, Gael García Bernal, Penélope Cruz, Wagner Moura, Édgar Ramírez"
,"The Amazing Mrs. Holliday",,"1400000.0",,"Bruce Manning","Bruce Manning","Barry Fitzgerald, Deanna Durbin, Edmond O'Brien"
"0044552","Diplomatic Courier",,"1400000.0",1952-06-13,"Henry Hathaway","Casey Robinson","Arthur Blake, Helene Stanley, Herbert Berghof, James Millican, Karl Malden, Patricia Neal, Stefan Schnabel, Stephen McNally, Tyrone Power"
"0070653","Scorpio (film)","4000000.0","1400000.0",,"Michael Winner","Walter Mirisch","Alain Delon, Burt Lancaster, Gayle Hunnicutt, John Colicos, Paul Scofield"
"0102358","Cold Moon (1991 film)",,"1400000.0",,"Patrick Bouchitey","Luc Besson","Jean-François Stévenin"
,"The Vagabond King (1956 film)",,"1400000.0",,"Michael Curtiz","Pat Duggan","Kathryn Grayson, Leslie Nielsen, Rita Moreno"
"0062029","The Naked Runner",,"1400000.0",,"Sidney J. Furie","Brad Dexter","Derren Nesbitt, Edward Fox, Frank Sinatra, Peter Vaughan"
"0082464","Goodbye Pork Pie","350000.0","1400000.0",1981-02-06,"Geoff Murphy","Geoff Murphy","Bruno Lawrence, Tony Barry"
,"Pygmalion (1938 film)","87000.0","1400000.0",,"Anthony Asquith, Leslie Howard","Gabriel Pascal",", Leueen MacGrath, Wendy Hiller, Wilfrid Lawson"
,"Repossessed (film)",,"1400000.0",,"Bob Logan","Mario Kassar","Anthony Starke, Leslie Nielsen, Linda Blair, Ned Beatty"
"0049706","Safari (1956 film)",,"1400000.0",,"Terence Young","Albert R. Broccoli","Janet Leigh, John Justin, Roland Culver, Victor Mature"
"0051219","Zarak",,"1400000.0",,"Terence Young","Albert R. Broccoli","Michael Wilding, Victor Mature"
"0098584","A Woman's Revenge (1990 film)",,"1400000.0",,"Jacques Doillon","Alain Sarde","Isabelle Huppert"
,"Fellini Satyricon",,"1400000.0",,"Federico Fellini","Alberto Grimaldi","Alain Cuny, Capucine, Lucia Bosè, Magali Noël, Martin Potter, Salvo Randone, Tanya Lopert"
"0486028","Three (2006 film)","2400000.0","1400000.0",,"Robby Henson","Ralph Winter","Bill Moseley, Justine Waddell, Kevin Downes, Marc Blucas"
,"Three Secrets",,"1400000.0",,"Robert Wise","Milton Sperling","Eleanor Parker, Patricia Neal, Ruth Roman"
,"The Country Doctor (1936 film)","650000.0","1400000.0",,"Henry King","Nunnally Johnson","Dorothy Peterson, Jean Hersholt, June Lang, Michael Whalen, Robert Barrat, Slim Summerville"
"0050544","Interlude (1957 film)",,"1400000.0",,"Douglas Sirk","Ross Hunter","June Allyson, Rossano Brazzi"
"0039308","Deep Valley",,"1400000.0",,"Jean Negulesco","Henry Blanke","Dane Clark, Ida Lupino"
"0051087","The Tin Star",,"1400000.0",,"Anthony Mann","George Seaton","Anthony Perkins, Henry Fonda"
"0062673","Anzio (film)",,"1400000.0",,"Duilio Coletti, Edward Dmytryk","Dino De Laurentiis","Anthony Steel, Earl Holliman, Mark Damon, Peter Falk, Reni Santoni, Robert Mitchum, Robert Ryan, Thomas Hunter"
,"Way of a Gaucho","2239000.0","1400000.0",,"Jacques Tourneur","Philip Dunne","Gene Tierney, Rory Calhoun"
"0041115","Always Leave Them Laughing",,"1400000.0",1949-11-26,"Roy Del Ruth","Jerry Wald","Milton Berle, Virginia Mayo"
,"Body and Soul (1981 film)","2000000.0","1400000.0",1981-10-09,"George Bowers","Menahem Golan, Yoram Globus","Leon Isaac Kennedy"
,"Johnny Come Lately",,"1400000.0",,"William K. Howard","William Cagney","Grace George, James Cagney, Marjorie Main"
,"The Other Woman (2009 film)",,"1400000.0",,"Don Roos","Marc E. Platt","Charlie Tahan, Lauren Ambrose, Lisa Kudrow, Natalie Portman, Scott Cohen"
"0042687","Louisa (film)",,"1400000.0",,"Alexander Hall","Robert Arthur","Ruth Hussey, Spring Byington"
,"Wendy and Lucy","300000.0","1400000.0",,"Kelly Reichardt","Larry Fessenden","Michelle Williams"
,"The Forgiven (2021 film)",,"1400000.0",,"John Michael McDonagh","John Michael McDonagh, Trevor Matthews","Abbey Lee, Alex Jennings, Caleb Landry Jones, Christopher Abbott, Ismael Kanater, Jessica Chastain, Marie-Josée Croze, Matt Smith, Saïd Taghmaoui"
"0034593","China Girl (1942 film)",,"1400000.0",1942-12-09,"Henry Hathaway","Ben Hecht",""
"0035361","Song of the Islands",,"1400000.0",1942-03-13,"Walter Lang","Darryl F. Zanuck, William LeBaron","Betty Grable, Victor Mature"
"0086969","Birdy (film)","1.2E7","1400000.0",,"Alan Parker","Alan Marshall","Matthew Modine"
,"Vox Lux","1.1E7","1400000.0",,"Brady Corbet","Christine Vachon","Jennifer Ehle, Jude Law, Natalie Portman, Raffey Cassidy"
,"Cosmoball","15.0","1400000.0",,"Dzhanik Fayziev","Dzhanik Fayziev",", Dmitry Nazarov, Elena Yakovleva, Svetlana Ivanova, Viktoriya Agalakova, Yevgeny Mironov"
,"My Pet Dinosaur",,"1400000.0",,"Matt Drummond","Matt Drummond",""
"0047542","Suddenly (1954 film)",,"1400000.0",,"Lewis Allen","Robert Bassler","Frank Sinatra, Sterling Hayden"
,"Exposed (1983 film)","1.8E7","1400000.0",1983-04-22,"James Toback","James Toback",", Bibi Andersson, Harvey Keitel, Ian McShane, Nastassja Kinski, Rudolf Nureyev"
,"Dogtooth (film)","250000.0","1400000.0",,"Yorgos Lanthimos","Athina Rachel Tsangari","Christos Stergioglou, Mary Tsoni"
,"House of Tolerance","3800000.0","1400000.0",,"Bertrand Bonello","Bertrand Bonello","Adèle Haenel, Céline Sallette, Jasmine Trinca, Noémie Lvovsky"
,"Universal Soldier: Day of Reckoning","8000000.0","1400000.0",,"John Hyams","Courtney Solomon, Moshe Diamant",", ""JCVD"", ""The Muscles from Brussels"", Andrei Arlovski, Dolph Lundgren, Jean-Claude Van Damme, Scott Adkins, The Pitbull"
,"Medieval (film)","2.03E7","1400000.0",,"Petr Jákl","Cassian Elwes","Ben Foster, Matthew Goode, Michael Caine, Sophie Lowe, William Moseley"
"0051077","The Three Faces of Eve","965000.0","1400000.0",,"Nunnally Johnson","Nunnally Johnson","Lee J. Cobb"
,"I, the Jury (1953 film)",,"1400000.0",,"Harry Essex","Victor Saville","Alan Reed, Biff Elliot, Margaret Sheridan, Peggie Castle, Preston Foster"
,"White Savage",,"1400000.0",,"Arthur Lubin","George Waggner","Jon Hall, María Montez"
"0060095","Alvarez Kelly",,"1400000.0",,"Edward Dmytryk","Sol C. Siegel","Richard Widmark, William Holden"
,"Poor Little Rich Girl (1936 film)",,"1400000.0",,"Irving Cummings","Darryl F. Zanuck","Alice Faye, Claude Gillingwater, Gloria Stuart, Jack Haley, Michael Whalen"
,"Cherry 2000","1.0E7","14000.0",,"Steve De Jarnatt","Caldecot Chubb, Edward R. Pressman","David Andrews, Melanie Griffith, Pamela Gidley, Tim Thomerson"
,"Big City (1948 film)","1725000.0","1399000.0",,"Norman Taurog","Joe Pasternak","Betty Garrett, Danny Thomas, Edward Arnold, George Murphy, Margaret O'Brien, Robert Preston"
,"Leonard Cohen: I'm Your Man",,"1398424.0",,"Lian Lunson","Bruce Davey, Lian Lunson, Mel Gibson","Beth Orton, Bono, Jarvis Cocker, Julie Christensen, Kate & Anna McGarrigle, Leonard Cohen, Linda Thompson, Martha Wainwright, Nick Cave, Rufus Wainwright, Teddy Thompson, The Handsome Family"
,"Hanna's War","2.0E7","139796.0",1988-11-23,"Menahem Golan","Menahem Golan, Yoram Globus","Anthony Andrews, David Warner, Donald Pleasence, Ellen Burstyn"
,"Hudson's Bay (film)","869600.0","1395300.0",,"Irving Pichel","Darryl F. Zanuck","Gene Tierney, Paul Muni"
"0041847","Scene of the Crime (1949 film)","761000.0","1391000.0",,"Roy Rowland","Harry Rapf","Arlene Dahl, Gloria DeHaven, Van Johnson"
"0006568","A Daughter of the Gods","1100000.0","1390000.0",,"Herbert Brenon","William Fox",""
"0091069","Fortress (1985 film)","4400000.0","139000.0",,"Arch Nicholson","Raymond Menmuir","Rachel Ward"
,"The Three-Day Reign",,"1390.0",,"Shin Sang-ok","Shin Sang-ok","Shin Young-kyun"
,"The Iron Petticoat","509000.0","1385000.0",,"Ralph Thomas","Harry Saltzman","(CBE), Bob Hope, James Robertson Justice, Katharine Hepburn, Noelle Middleton, Robert Helpmann"
,"Silver City (2004 film)",,"1384395.0",,"John Sayles","Maggie Renzi","Chris Cooper, Danny Huston, Michael Murphy, Richard Dreyfuss"
"0117332","Phat Beach","100000.0","1383553.0",,"Doug Ellin","Eric Manes, Michael Schultz","Brian Hooks, Coolio, Jermaine Hopkins"
,"Cimarron (1931 film)","1433000.0","1383000.0",,"Wesley Ruggles","William LeBaron","Irene Dunne, Richard Dix"
,"Sympathy for Delicious",,"13826.0",,"Mark Ruffalo","Andrea Sperling, Mark Ruffalo","Christopher Thornton, Laura Linney, Mark Ruffalo, Orlando Bloom"
"0099166","Book of Love (1990 film)","2000000.0","1382259.0",,"Robert Shaye","Rachel Talalay","Chris Young, Keith Coogan, Michael McKean"
,"Conspiracy (1930 film)","118000.0","138000.0",,"Christy Cabanne","William LeBaron","Bessie Love, Ned Sparks"
,"Rasputin and the Empress","1022000.0","1379000.0",,"Richard Boleslawski","Irving Thalberg","Ethel Barrymore, John Barrymore, Lionel Barrymore, Ralph Morgan"
,"Floating Skyscrapers",,"137832.0",,"Tomasz Wasilewski","Szymon Lenkowski, Łukasz Targosz","Izabela Kuna, Mateusz Banasiuk"
,"The Duel (1971 film)",,"1375619.2",1971-04-21,"Chang Cheh","Runme Shaw","David Chiang, Ti Lung, Wang Ping"
,"The Subject Was Roses (film)",,"1375000.0",,"Ulu Grosbard","Edgar Lansbury","Jack Albertson, Patricia Neal"
,"Wondrous Oblivion",,"1374302.0",,"Paul Morrison","Jonny Persey","Delroy Lindo, Emily Woof, Stanley Townsend"
,"Daddy's Dyin': Who's Got the Will?","4000000.0","1373728.0",,"Jack Fisk","Monty Montgomery, Steve Golin","Beau Bridges, Judge Reinhold, Keith Carradine, Molly McClure, Patrika Darbo, Tess Harper"
"0099520","Everybody Wins (1990 film)","1.9E7","1372350.0",,"Karel Reisz","Jeremy Thomas","Debra Winger, Jack Warden, Judith Ivey, Nick Nolte"
,"Prince Yeonsan (film)",,"13721.0",,"Shin Sang-ok","Shin Sang-ok",""
,"Is the Man Who Is Tall Happy?",,"137042.0",,"Michel Gondry","Michel Gondry","Noam Chomsky"
,"Fifth Avenue Girl","607000.0","1370000.0",,"Gregory La Cava","Gregory La Cava","Ginger Rogers, James Ellison, Verree Teasdale, Walter Connolly"
"0026421","Gold Diggers of 1935","567000.0","1365000.0",,"Busby Berkeley","Robert Lord","Adolphe Menjou, Alice Brady, Dick Powell, Gloria Stuart"
,"Petersen (film)","240000.0","1363000.0",,"Tim Burstall","Tim Burstall","Jack Thompson, Jacki Weaver, Wendy Hughes"
,"Petersen (film)","226000.0","1363000.0",,"Tim Burstall","Tim Burstall","Jack Thompson, Jacki Weaver, Wendy Hughes"
,"Little Joe (film)",,"136242.0",,"Jessica Hausner","Jessica Hausner","Ben Whishaw, Emily Beecham"
,"Archenemy (film)",,"136240.0",,"Adam Egypt Mortimer","Joe Manganiello","Amy Seimetz, Glenn Howerton, Joe Manganiello, Paul Scheer, Skylan Brooks"
"0022641","As You Desire Me (film)","469000.0","1362000.0",1932-05-28,"George Fitzmaurice","George Fitzmaurice, Irving Thalberg","Erich von Stroheim, Greta Garbo, Hedda Hopper, Melvyn Douglas, Owen Moore"
,"The Law and the Lady (1951 film)","1193000.0","1360000.0",1951-07-20,"Edwin H. Knopf","Edwin H. Knopf","Fernando Lamas, Greer Garson, Michael Wilding"
,"Gimme Shelter (2013 film)",,"1359910.0",,"Ronald Krauss","Ronald Krauss","Ann Dowd, Brendan Fraser, Emily Meade, James Earl Jones, Rosario Isabel Dawson, Stéphanie Szostak, Vanessa Hudgens"
,"Spanking the Monkey","200000.0","1359736.0",,"David O. Russell","Dean Silvers","Alberta Watson, Benjamin Hendrickson, Carla Gallo"
,"Goodbye, My Fancy (film)","1312000.0","1358000.0",,"Vincent Sherman","Henry Blanke","Frank Lovejoy, Joan Crawford, Robert Young"
"0049247","Gaby (film)","1863000.0","1357000.0",,"Curtis Bernhardt","Edwin H. Knopf","Leslie Caron"
,"Escape (1940 film)","1205000.0","1357000.0",1940-11-01,", Mervyn LeRoy",", Lawrence Weingarten, Mervyn LeRoy","Albert Bassermann, Bonita Granville, Conrad Veidt, Felix Bressart, Norma Shearer, Philip Dorn, Robert Taylor"
"0116745","Kansas City (film)","1.9E7","1356329.0",,"Robert Altman","Robert Altman","Harry Belafonte, Jennifer Jason Leigh, Michael Murphy, Miranda Richardson, Steve Buscemi"
,"Sunday Too Far Away","300000.0","1356000.0",,"Ken Hannam","Gil Brealey","Jack Thompson, John Ewart, Max Cullen, Peter Cummins, Reg Lye, Robert Bruning"
,"Skin (2018 feature film)",,"135562.0",,"Guy Nattiv","Guy Nattiv, Jaime Ray Newman, Oren Moverman, Trudie Styler","Bill Camp, Daniel Henshall, Danielle Macdonald, Jamie Bell, Kylie Rogers, Louisa Krause, Mike Colter, Vera Farmiga, Zoe Colletti"
,"True Love (1989 film)","750000.0","1354268.0",,"Nancy Savoca","Richard Guay","Annabella Sciorra"
,"The Anniversary (1968 film)","1450000.0","1352000.0",1968-02-07,"Roy Ward Baker","Jimmy Sangster","Bette Davis, Sheila Hancock"
,"The Anniversary (1968 film)","1450000.0","1352000.0",1968-02-11,"Roy Ward Baker","Jimmy Sangster","Bette Davis, Sheila Hancock"
,"The Other Story (film)",,"135191.0",,"Avi Nesher","Avi Nesher","Nathan Goshen, Sasson Gabai"
,"Paper Man (2009 film)",,"13514.0",,"Kieran Mulroney","Richard N. Gladstein","Emma Stone, Hunter Parrish, Jeff Daniels, Kieran Culkin, Lisa Kudrow, Ryan Reynolds"
"0040875","Three Daring Daughters","2538000.0","1351000.0",,"Fred M. Wilcox","Joe Pasternak","Edward Arnold, Harry Davenport, Jane Powell, José Iturbi"
,"Phone Call from a Stranger",,"1350000.0",,"Jean Negulesco","Nunnally Johnson","Bette Davis, Evelyn Varden, Gary Merrill, Keenan Wynn, Michael Rennie, Shelley Winters"
"0049291","The Harder They Fall (1956 film)",,"1350000.0",,"Mark Robson","Philip Yordan","Humphrey Bogart, Jan Sterling"
,"Hot Water (1924 film)",,"1350000.0",,"Sam Taylor","Harold Lloyd","Harold Lloyd, Jobyna Ralston"
"0046204","The President's Lady","1475000.0","1350000.0",1953-05-21,"Henry Levin","Sol C. Siegel","Charlton Heston, Susan Hayward"
,"Living on Love","112000.0","135000.0",,"Lew Landers","Maury Cohen","James Dunn, Joan Woodbury, Whitney Bourne"
"0095877","Platoon Leader (film)",,"1348771.0",,"Aaron Norris","Harry Alan Towers","Michael DeLorenzo, Rick Fitts, William Smith"
,"Vengeance (2009 film)","1.15E7","1346952.0",,"Johnnie To","John Chong, Johnnie To, Peter Lam","Anthony Wong, Gordon Lam, Johnny Hallyday, Lam Suet, Michelle Ye, Simon Yam, Sylvie Testud"
,"Concert for George (film)",,"134600.0",,"David Leland","Olivia Harrison, Ray Cooper","Eric Clapton, Olivia Harrison, Paul McCartney"
"0108026","The Saint of Fort Washington","1.0E7","134454.0",1993-11-17,"Tim Hunter","David V. Picker","Danny Glover, Joe Seneca, Matt Dillon, Nina Siemaszko, Rick Aviles, Ving Rhames"
"0280696","Garage Days",,"1343762.0",,"Alex Proyas","Alex Proyas","Kick Gurry, Pia Miranda"
,"At Play in the Fields of the Lord","3.6E7","1342903.0",,"Héctor Babenco","Saul Zaentz","Aidan Quinn, Daryl Hannah, John Lithgow, Kathy Bates, Tom Waits"
"0026914","Reckless (1935 film)","858000.0","1339000.0",,"Victor Fleming","David O. Selznick","Franchot Tone, Jean Harlow, May Robson, WIlliam Powell"
"0122529","Henry Fool","900000.0","1338335.0",,"Hal Hartley","Hal Hartley, Larry Meistrich","James Urbaniak"
,"Callaway Went Thataway","1103000.0","1338000.0",1951-11-15,"Melvin Frank, Norman Panama","Melvin Frank, Norman Panama",""
"0102299","Liebestraum (film)","5000000.0","133645.0",,"Mike Figgis","Eric Fellner","Kevin Anderson, Kim Novak, Pamela Gidley, Zach Grenier"
,"The Emperor's Candlesticks (1937 film)","620000.0","1333000.0",,"George Fitzmaurice","John W. Considine Jr.","Luise Rainer, WIlliam Powell"
"0083735","Perils of the Sentimental Swordsman",,"1331496.0",,"Chor Yuen","Mona Fong, Lady Shaw","Ti Lung"
,"Three Colours: Blue",,"1330000.0",,"Krzysztof Kieślowski","Marin Karmitz","Benoît Régent, Emmanuelle Riva, Florence Pernel, Hugues Quester, Hélène Vincent, Juliette Binoche, Philippe Volter"
,"The Legend of Barney Thomson",,"1329376.0",,"Robert Carlyle","Kaleena Kiff","Emma Thompson, Ray Winstone, Robert Carlyle"
"0834541","Sherman's Way",,"13282.0",,"Craig Saavedra","Craig Saavedra","Brooke Nevin, Donna Murphy, James Le Gros, Lacey Chabert, Michael Shulman"
"0181836","The Specials (2000 film)",,"13276.0",,"Craig Mazin","Mark A. Altman","James Gunn, Judy Greer, Paget Brewster, Rob Lowe, Sean Gunn"
,"Days and Nights",,"13243.0",,"Christian Camargo","Juliet Rylance","Allison Janney, Ben Whishaw, Cherry Jones, Christian Camargo, Jean Reno, Juliet Rylance, Katie Holmes, Mark Rylance, Mikael Nyqvist, Russell Means"
,"How to Survive a Plague",,"132055.0",,"David France","Dan Cogan",""
,"Erased (2012 film)",,"1320000.0",,"Philipp Stölzl","Adrian Politowski","Liana Liberato, Olga Kurylenko"
"0337631","The Boys from County Clare","8000000.0","132000.0",,"John Irvin","Bill Kenwright","(MBE), Andrea Corr, Bernard Hill, Charlotte Bradley, Colm Meaney, Eamonn Owens, Ian Shaw, Shaun Evans"
,"Hounddog (film)","4000000.0","131961.0",,"Deborah Kampmeier","Deborah Kampmeier","Dakota Fanning, Isabelle Fuhrman, Piper Laurie"
,"Touchez pas au grisbi",,"131548.0",,"Jacques Becker","Robert Dorfmann","Dora Doll, Jean Gabin, Lino Ventura, Paul Frankeur, René Dary"
,"They Gave Him a Gun","606000.0","1313000.0",,"W. S. Van Dyke","Harry Rapf","Franchot Tone, Gladys George, Spencer Tracy"
,"Eskimo (1933 film)","935000.0","1312000.0",,"W. S. Van Dyke","Hunt Stromberg, Irving Thalberg, W. S. Van Dyke","Ray Mala"
,"The Gay Diplomat","184000.0","131000.0",,"Ray Lissner, Richard Boleslawski","William LeBaron","Betty Compson, Genevieve Tobin, Ivan Lebedeff"
,"Aliens (film)","1.85E7","131.1",,"James Cameron","Gale Anne Hurd","Sigourney Weaver"
"0810988","The Nines",,"130880.0",,"John August","Bruce Cohen, Dan Jinks","Melissa McCarthy, Ryan Reynolds"
"0065597","Cry of the Banshee","450000.0","1306000.0",1970-07-29,"Gordon Hessler","Gordon Hessler, James H. Nicholson","Elisabeth Bergner, Hilary Dwyer, Hugh Griffith, Patrick Mower, Sally Geeson, Vincent Price"
,"Brother's Keeper (1992 film)",,"1305915.0",,"Joe Berlinger","Joe Berlinger",""
,"The End of Time (2012 film)",,"13056.0",,"Peter Mettler","Ingrid Veninger",""
,"There Is No Evil",,"13055.0",,"Mohammad Rasoulof","Mohammad Rasoulof","Mahtab Servati"
,"Jackass Mail","666000.0","1305000.0",,"Norman Z. McLeod","John W. Considine Jr.","Marjorie Main, Wallace Beery"
"0088758","The Aviator (1985 film)",,"1304192.0",,"George T. Miller","Mace Neufeld","Christopher Reeve, Jack Warden, Tyne Daly"
,"Sadie McKee","612000.0","1302000.0",,"Clarence Brown","Lawrence Weingarten","Franchot Tone, Gene Raymond, Joan Crawford"
,"4 Little Girls","1000000.0","130146.0",1997-09-06,", Spike Lee",", Samuel D. Pollard, Spike Lee",""
,"4 Little Girls","1000000.0","130146.0",1997-07-09,", Spike Lee",", Samuel D. Pollard, Spike Lee",""
,"Saints and Soldiers","780000.0","1300000.0",,"Ryan Little","Ryan Little","Alexander Polinsky, Corbin Allred, Kirby Heyborne, Larry Bagby, Peter Holden"
,"Thirty Two Short Films About Glenn Gould",,"1300000.0",,"François Girard","Niv Fichman","Colm Feore"
,"Dumbo","950000.0","1300000.0",,"Ben Sharpsteen, Jack Kinney, Norm Ferguson, Wilfred Jackson","Walt Disney","Cliff Edwards, Edward Brophy, Hall Johnson, Herman Bing, Sterling Holloway, Verna Felton"
"0063157","Joanna (1968 film)","1200000.0","1300000.0",,"Mike Sarne","Michael Laughlin","Calvin Lockhart, Christian Doermer, Donald Sutherland, Geneviève Waïte"
"0043665","I Was a Communist for the FBI","684000.0","1300000.0",,"Gordon Douglas","Bryan Foy","Frank Lovejoy"
"0044937","My Cousin Rachel (1952 film)","1200000.0","1300000.0",,"Henry Koster","Nunnally Johnson","Audrey Dalton, Richard Burton"
,"Smith!",,"1300000.0",,"Michael O'Herlihy","Bill Anderson","Glenn Ford"
,"Twixt (film)","7000000.0","1300000.0",,"Francis Ford Coppola","Francis Ford Coppola","Ben Chaplin, Bruce Dern, Val Kilmer"
"0051466","A Certain Smile (film)","2300000.0","1300000.0",,"Jean Negulesco","Henry Ephron","Joan Fontaine, Rossano Brazzi"
,"Damsels in Distress (film)","3000000.0","1300000.0",,"Whit Stillman","Whit Stillman","Aubrey Plaza, Billy Magnussen, Caitlin FitzGerald, Carolyn Farina, Greta Gerwig, Hugo Becker, Jermaine Crawford, Lio Tipton, Megalyn Echikunwoke, Taylor Nichols, Zach Woods"
,"Killing Zoe","1500000.0","1300000.0",,"Roger Avary","Samuel Hadida","Jean-Hugues Anglade, Kario Salem"
"0104321","Gas Food Lodging","1300000.0","1300000.0",,"Allison Anders","Carl-Jan Colpaert",""
"0045992","The Lawless Breed",,"1300000.0",,"Raoul Walsh","William Alland","Julie Adams, Rock Hudson"
,"Background to Danger",,"1300000.0",,"Raoul Walsh","Jerry Wald","Brenda Marshall, George Raft, Peter Lorre, Sydney Greenstreet"
"0028063","One in a Million (1936 film)",,"1300000.0",,"Sidney Lanfield","Ben Silvey","Adolphe Menjou, Arline Judge, Don Ameche, Jean Hersholt, Julius Tannen, Montagu Love, Ned Sparks"
"0027421","Captain January (1936 film)",,"1300000.0",,"David Butler","Darryl F. Zanuck","Buddy Ebsen, Guy Kibbee, Jane Darwell, June Lang, Sara Haden, Slim Summerville"
,"Vivo (film)",,"1300000.0",,"Kirk DeMicco","Rich Moore","Gloria Estefan, Juan de Marcos González, Lin-Manuel Miranda, Michael Rooker, Nicole Byer, Zoe Saldaña"
,"Goat Story","1800000.0","1300000.0",,"Jan Tománek","Jan Tománek","Dalimil Klapka, Jiří Lábus, Karel Heřmánek, Mahulena Bočanová, Miroslav Táborský, Petr Nárožný, Viktor Preiss"
,"Monos (film)","2000000.0","1300000.0",,"Alejandro Landes","Alejandro Landes","Julianne Nicholson, Moisés Arias"
,"The Stone Killer",,"1300000.0",,"Michael Winner","Michael Winner","Charles Bronson, John Ritter, Martin Balsam, Norman Fell, Paul Koslo"
,"Back at the Front",,"1300000.0",,"George Sherman","Leonard Goldstein","Harvey Lembeck, Mari Blanchard, Tom Ewell"
,"Across the Pacific","576000.0","1300000.0",,"John Huston, Vincent Sherman","Jerry Wald","Humphrey Bogart, Mary Astor, Sydney Greenstreet"
,"The Face of Fu Manchu","150000.0","1300000.0",,"Don Sharp","Harry Alan Towers","James Robertson Justice, Joachim Fuchsberger, Karin Dor, Nigel McGown Green, Tsai Chin"
,"The Kettles in the Ozarks",,"1300000.0",,"Charles Lamont",", Richard Wilson","Arthur Hunnicutt, Marjorie Main"
,"In Old Arizona",,"1300000.0",1928-12-25,"Irving Cummings, Raoul Walsh","Winfield Sheehan","Dorothy Burgess, Edmund Lowe, Warner Baxter"
,"Robot Jox","6.5","1300000.0",,"Stuart Gordon","Charles Band","Anne-Marie Johnson, Danny Kamekona, Gary Graham, Hilary Mason, Michael Alldredge, Paul Koslo, Robert Sampson"
,"Destination Moon (film)","592000.0","1300000.0",,"Irving Pichel","George Pal, Walter Lantz","Dick Wesson, John Archer, Warner Anderson"
,"The Rapture (1991 film)","3000000.0","1300000.0",,"Michael Tolkin","Karen Koch","David Duchovny, Mimi Rogers"
,"The Sparks Brothers",,"1300000.0",,"Edgar Wright","Edgar Wright, Nira Park",""
,"A Ticket to Tomahawk",,"1300000.0",,"Richard Sale","Robert Bassler","Dan Dailey"
